acc,sample_acc,biosample,sra_study,bioproject
ERR1857120,ERS1572626,SAMEA100883668,ERP021740,
ERR1857132,ERS1572627,SAMEA100884418,ERP021740,
ERR3955908,ERS2783634,SAMEA4965217,ERP111280,
ERR3955909,ERS2783635,SAMEA4965218,ERP111280,
ERR3955910,ERS2783636,SAMEA4965219,ERP111280,
ERR3955912,ERS2783638,SAMEA4965221,ERP111280,
ERR3928141,ERS4326896,SAMEA6562549,ERP119842,
ERR3927927,ERS4294333,SAMEA6529934,ERP119891,
ERR3927246,ERS4294336,SAMEA6529937,ERP119891,
ERR3927582,ERS4294341,SAMEA6529942,ERP119891,
ERR3927545,ERS4294341,SAMEA6529942,ERP119891,
ERR3927807,ERS4294343,SAMEA6529944,ERP119891,
ERR3927842,ERS4294348,SAMEA6529949,ERP119891,
ERR3927400,ERS4294349,SAMEA6529950,ERP119891,
ERR3927255,ERS4294352,SAMEA6529953,ERP119891,
ERR3927293,ERS4294354,SAMEA6529955,ERP119891,
ERR3927556,ERS4294360,SAMEA6529961,ERP119891,
ERR3927704,ERS4294360,SAMEA6529961,ERP119891,
ERR3927453,ERS4294368,SAMEA6529969,ERP119891,
ERR3927784,ERS4294369,SAMEA6529970,ERP119891,
ERR3927602,ERS4294371,SAMEA6529972,ERP119891,
ERR3927879,ERS4294373,SAMEA6529974,ERP119891,
ERR3927382,ERS4294374,SAMEA6529975,ERP119891,
ERR3927493,ERS4294374,SAMEA6529975,ERP119891,
ERR3927919,ERS4294386,SAMEA6529987,ERP119891,
ERR3927535,ERS4294390,SAMEA6529991,ERP119891,
ERR3927316,ERS4294393,SAMEA6529994,ERP119891,
ERR3966476,ERS4363517,SAMEA6599243,ERP120289,
ERR3966480,ERS4363521,SAMEA6599247,ERP120289,
ERR4173382,ERS4581192,SAMEA6853602,ERP121890,
ERR4173381,ERS4581192,SAMEA6853602,ERP121890,
ERR4276486,ERS4758521,SAMEA6990426,ERP122190,
ERR4276488,ERS4758522,SAMEA6990427,ERP122190,
ERR4276489,ERS4758523,SAMEA6990428,ERP122190,
ERR4276490,ERS4758524,SAMEA6990429,ERP122190,
ERR4276491,ERS4758525,SAMEA6990430,ERP122190,
ERR4276492,ERS4758526,SAMEA6990431,ERP122190,
ERR4276493,ERS4758527,SAMEA6990432,ERP122190,
ERR4276494,ERS4758528,SAMEA6990433,ERP122190,
ERR4276498,ERS4758529,SAMEA6990434,ERP122190,
ERR4276499,ERS4758530,SAMEA6990435,ERP122190,
ERR4276500,ERS4758531,SAMEA6990436,ERP122190,
ERR4276495,ERS4758532,SAMEA6990437,ERP122190,
ERR4276496,ERS4758533,SAMEA6990438,ERP122190,
ERR4276497,ERS4758534,SAMEA6990439,ERP122190,
ERR4276501,ERS4758535,SAMEA6990440,ERP122190,
ERR4276502,ERS4758536,SAMEA6990441,ERP122190,
ERR4276503,ERS4758537,SAMEA6990442,ERP122190,
ERR4276487,ERS4758538,SAMEA6990443,ERP122190,
ERR4276504,ERS4758539,SAMEA6990444,ERP122190,
ERR4276505,ERS4758540,SAMEA6990445,ERP122190,
ERR4276506,ERS4758541,SAMEA6990446,ERP122190,
ERR4276507,ERS4758542,SAMEA6990447,ERP122190,
ERR4276508,ERS4758543,SAMEA6990448,ERP122190,
ERR4276509,ERS4758544,SAMEA6990449,ERP122190,
ERR4276510,ERS4758545,SAMEA6990450,ERP122190,
ERR4276511,ERS4758546,SAMEA6990451,ERP122190,
ERR4276512,ERS4758547,SAMEA6990452,ERP122190,
ERR4276513,ERS4758548,SAMEA6990453,ERP122190,
ERR4276514,ERS4758549,SAMEA6990454,ERP122190,
ERR4276515,ERS4758550,SAMEA6990455,ERP122190,
ERR4276516,ERS4758551,SAMEA6990456,ERP122190,
ERR4276517,ERS4758552,SAMEA6990457,ERP122190,
ERR4276518,ERS4758553,SAMEA6990458,ERP122190,
ERR4276519,ERS4758554,SAMEA6990459,ERP122190,
ERR4276520,ERS4758555,SAMEA6990460,ERP122190,
ERR4276521,ERS4758556,SAMEA6990461,ERP122190,
ERR4276522,ERS4758557,SAMEA6990462,ERP122190,
ERR4276523,ERS4758558,SAMEA6990463,ERP122190,
ERR4276524,ERS4758559,SAMEA6990464,ERP122190,
ERR4276525,ERS4758560,SAMEA6990465,ERP122190,
ERR4276526,ERS4758561,SAMEA6990466,ERP122190,
ERR4276527,ERS4758562,SAMEA6990467,ERP122190,
